spolecnost	sidlo	rok_zalozeni	stari	stáří	NACE-CZ	prav_forma	zahr_kapital	pocet_zam	obrat2008	zamereni	zamereni_text	1a	1b	1c	1d	1e	1f	1g	1h	2a_vyuz	2a_plan	2a_spok	2b_vyuz	2b_plan	2b_spok	2c_vyuz	2c_plan	2c_spok	2d_vyuz	2d_plan	2d_spok	2e_vyuz	2e_plan	2e_spok	2f_vyuz	2f_plan	2f_spok	2g_vyuz	2g_plan	2g_spok	2g_text	2h_vyuz	2h_plan	2h_spok	2i_vyuz	2i_plan	2i_spok	2j_vyuz	2j_plan	2j_spok	2k_vyuz	2k_plan	2k_spok	2l_vyuz	2l_plan	2l_spok	2l_text	3	3_text	4a	4b	4c	4d	4e	4f	4g	5a	5b	5c	5d	5e	5f	5g	5h	5i	5j	5k	5l	5m	5n	5o	5p	5r	5r_text	6a_1	6a_2	6a_3	6a_4	6a_5	6a_6	6b_1	6b_2	6b_3	6b_4	6c	6d	6e	6f	6g	6h	6h_text	7	8a	8b	8c	8d	8e	8f	8g	8h	8i	8i_text	8j	9	10	11a	11b	11c	11d	11e	11f	12a	12b	12c	12d	12e	12f	12f_text	13a	13b	13c	13d	13e	13f	13f_text	14	15	15_text
JMA	Hodonín	1881	1	1	Výroba motorových vozidel a jejich motorů	s.r.o.	1	4	4	1		5	4	3	3	2	3	5	2	3		5	3		5	1		4	3		5		2			2		3		3			2			2			2			2			2			1		5	5	4	3	3	2	4	5	4	4	4	5	5	5	3	3	4	3	5	3	3	3	3			1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	0		2	0	0	0	1	1	0	0	0	0		0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	SAP	3	2	2	5	1			2	1	snižování nákladů
John Crane Sigma	Lutín	1993	2	2		a.s.	1	4	4	1		3	4	5	4	3	4	4	2	3		3	3		3		1		3		4		1			2		3		3	zmetkovitostí		2		1		4	2		4		1						1		3	4	3	3	3	4	2	4	3	4	5	4	5	4	5	4	3	5	5	3	4	3	3			0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0		2	0	0	0	1	0	0	1	0	0		0	1	3	1	1	1	1	0	1	1	1	0	0	0	0					5				1	2	
JT-elektro	Slavičín	2007	3	3	eletromontáže	OSVČ	2	1	1	2		5	5	4	4	5	5	4	4		1			2			1		1		2		2			1		1					2			2			2			2						3		4	5	4	3	4	5	5	5	5	4	4	5	5	5	4	4	5	4	5	5	5	4	4			0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0		2	1	0	0	1	1	0	0	0	0		0	2	2	0	0	0	0	0		1	0	0	0	1	0		4	5	2	4	5			2	2	
JYCO EUROPE s.r.o.	Hranice na Moravě	2008	3	3	výroba těsnění z tpe pro automobilový průmysl	s.r.o.	1	3	2	1		5	3	4	4	5	5	4	5	1		3	1		4	1		2	1		4		2			1		1		3			1			1			1		1		4					2		3	5	4	2	2	3	5	1	5	3	3	5	5	5	4	4	2	3	3	1	4	4	5			0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0		2	0	0	0	1	1	1	0	0	0		0	1	3	0	1	1	0	1	0	1	1	0	0	0	0		5	2	4	3	1			1	2	
JZD Slušovice	Slušovice	2000	2	2	Zemědělská činnost	s.r.o.	2	1	1	1		5	3	5	3	5	5	5	5	3		3	3		3	1		3	3		3				1		3																					1		5	4	3	5	3	5	5	5	4	5	5	4	4	4	3	3	5	5	4	4	4	3	3			0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0		1	1	0	0	0	1	0	0	0	0		0	1	2							1	0	0	0	0	0		5	3	3	3				2	1	
Kámen a písek s.r.o.	Linecká 277, Český Krumlov	1992	2	2	težba a drcení kameniva	s.r.o.	1	3	4	1		5	5	5	5	5	5	5	5	3		5	3		5	1	2	5	3		5	3			3			3			ISO	3			3				1			1						1		5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4			1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0		1	1	0	0	1	1	1	1	0	0		0	1	1	1	1	1	1	1	1	1	0	1	1	0	0				3	5	3		počasí	2	2	
KCT Data, s.r.o.	Průmyslová 11, Praha 10, 102 00	1999	2	2	IT služby	s.r.o.	2	3	3	2		1	5	3	5	3	4	5	1	3		2	1	1			1		3		2		1			1							2			2			2			1		1	1		ziskové střediska respektive odpovědnostní střediska	2		5	2	5	5	3	1	1	5	5	3	5	3	3	3	5	5	3	5	5	5	3	2	5			0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0		2	0	0	0	0	1	0	0	0	0		0	3	3	0	0	1	1	0	1	1	1	0	0	0	0					5				1	1	obchod se přierientoval z výnosového na ziskové středisko
Kemifloc	Přerov	1993	2	2	Výroba jiných základních anorganických chemických látek	a.s.	1	2	4	1		5	4	5	4	3	5	4	1	3		5	3		5		2		3		5		2			2			2				2			2			2			2						1		4	5	4	5	5	4	5	5	4	4	4	4	5	5	5	5	5	5	5	5	5	4	5			0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0		1	0	0	0	1	1	0	0	0	0		0	1	3	0	0	0	0	1	1	1	1	0	0	0	0		1	1	3	5	4				2	
KFP - Kořený Fichtner Pavlásek	Praha	2004	3	2	Ostatní poradenství v oblasti podnikání a řízení	s.r.o.	2	2	1	2		3	5	4	4	5	4	3	3		2			2			2			2			2			2							2			2			2			1						2		5	4	2	3	2	2	5	5	4	3	3	5	4	5	3	1	5	4	5	4	4	4	4			0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0		3	0	0	0	0	0	0	0	0	0		0	1	1	0	0	0	0	0	0	1	0	0	0	0	0		3	5	2	5	1			2	2	
KKS	Zlín	1991	2	2	Výstavba silnic a dálnic	s.r.o.	2	3	3	2		2	2	3	1	3	3	1	5	3		4		1			2			2			2			1			2				2			2			2			2			2			3		4	5	3	3	1	5	1	5	5	4	4	5	4	4	3	2	2	3	4	3	4	1	1			0	1	1	0	1	0	1	1	0	0	1	1	0	1	0	0		3	0	0	0	0	0	0	0	1	0		0	2	3	0	0	0	0	0	0	1	0	0	0	0	0		1	1	1	4	5			2	2	
Klempos - Střechy	Březolupy	1999	2	2	Pokrývačské práce	s.r.o.		2	1	2		5	3	2	3	4	4	5	4	3		4		2			2		2		4		2			2			2			2		3		2			2		3		5					3		5	5	2	4	4	5	5	5	5	5	5	5	5	5	5	5	5	3	4	4	5	3	1			1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0		1	1	0	0	1	0	0	0	0	0		0	2	2	0	1	0	1	1	1	1	0	0	0	0	0		1	1	1	4	1	5	roční období	2	2	
KOMA MODULAR CONSTRUCTION	Vizovice	1992	2	2	Inženýrské stavitelství	s.r.o.	2	3	4	1		4	5	4	5	3	3	1	2	3		4	3		4	3		4	3		4	3		4	3		4	3		4	ISO	3		4				3		4	3		4					1		4	4	3	3	3	3	4	4	4	3	4	4	2	5	4	4	5	5	5	4	4	4	4			1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0		2	1	0	0	1	1	0	0	1	0		0	1	2	1	1	1	1	1	1	0	0	0	0	0	1	informační systém HELIOS	2	2	2	3	2			1	1	podrobněji a častěji
KOMIX s.r.o.	Praha 5	1992	2	2	Vývoj SW	s.r.o.	2	3	3	2		5	3	2	5	2	4	3	1	3		4	3		4		2		3		3		1					3		3	metrity na service desku, nástroje pro řízení testování, projektů	2		3							2		3					1	Měříme mnohem více než strategické cíle a domnívám se, že více méně každý	5	5	5	5	3	1	2	5	5	4	4	5	5	5	4	2	5	5	5	5	5	5	5			0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	máme své poměrové ukazatele	2	0	0	0	1	0	0	1	1	0		0	1	3	1	1	1	1	0	1	1	1	0	1	1	0	Datový sklad a nad ním MIS, do skladu jde ERP, CRM, Řízení projektů				4	5			2	2	
Komplexní informační technologie s.r.o.	České Budějovice	1994	2	2	Ekonomický software	s.r.o.	2	1	1	2		4	3	5	3	5	4	1	5	3		3	3		5	2		4	2		4		2			2			1				2			1			2		2		3					1		5	5	3	4	4	4	4	3	5	4	4	5	5	5	4	1	4	1	3	4	4	4	5			0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0		2	0	0	0	0	0	0	0	0	0		1	1	2	0	1	1	0			0	1	0	0	0	1	BMD	1	3	3	3	2	3	Sezónnost	1	1	lepší plánovat protředky
KONY ZLÍN	Zlín	1994	2	2	Výroba a opravy ložisek, ozubených kol, převodů a jejich dílů	s.r.o.	2	2	1	2		4	5	2	4	3	5	2	4	3		5	3		3	3		3	3		4		2			2		3		3	ISO 9001		2			2			2			2			2			1		3	3	4	4	4	2	5	4	4	4	4	5	5	5	5	3	5	4	5	5	5	5	4			0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0		2	0	0	0	1	1	0	0	1	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	1	v rámci účetních softwarů	3	3	1	5	1				2	
Korado	Česká Třebová	1996	2	2	výroba otopných těles	a.s.	1	4	4	1		5	5	5	4	5	4	4	5	3		3	3		3		2		3		5		2			2		3		3		3		3		1			1									1		5	5	4	4	4	5	5	5	5	4	4	5	5	5	4	4	5	4	4	4	4	4	4			0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0		2	0	0	0	0	0	1	0	0	0		0	1	3	1	1	1	1	1	1	1	1	0	0	0	0		2	4	3	5	1			2	1	větší důraz na controlling a plánování
Kordárna	Velká nad Veličkou	1948	1	1	Výroba ostatních technických a průmyslových textilií 	a.s.	2	4	4	1		4	4	3	4	4	4	5	3	3		4							3		4																											1		4	4	3	4	3	3	3	4	3	4	4	3	3	4	3	3	3	4	4	3	4	3	3			0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0		2	0	0	0	1	0	0	0	0	0		0	1	3	0	1	1	1	1	1	1	1	0	1	0	0		5	1	3	3	1			2	1	důraz na odpovědnost a kvalitu
KOTRLA	Vsetín	1994	2	2	Velkoobchod, maloobchod a opravy motorových vozidel	a.s.	2	3	4	3		5	5	4	4	5	5	5	5	3		5	3		5	3		4	3		5	2		4	2		5	3		5		2		4	2		5	1		4	3		5					1		5	5	5	5	5	5	5	5	5	4	4	5	4	5	4	5	5	5	5	5	5	4	5			0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0		1	0	1	0	1	1	1	1	0	0		0	1	2	1	1	1	1	1	1	1	0	0	1	0	0		5	2	4	5	4			1	1	ještě větší podpora
KOVAR	Leskovec	1992	2	2	Výroba kovových konstrukcí a jejich dílů	s.r.o.	2	3	4	1		4	5	5	3	5	3	4	2	3		5	2		5		2			1			1			2		3					2			2			2									1		5	3	4	5		5	4	5	5	5	5	4	4	5	4	5	5	5	4	4	5	3	3			0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0		2	1	0	0	1	0	0	0	1	0		0	1	2	0	1	0	0	1	1	1	0	0	0	0	1	A- System ++	3	3	4	2	2			2	2	
KOVOS	Slavičín – Hrádek	1992	2	2	Výroba ostatních kovodělných výrobků j. n.	s.r.o.	2	2	1	1		4	4	3	4	3	5	2	1	3		3	2		3		1		2		3		2			2		3		4	ISO, kontrolní tabulky, Paretův diagram	3		4		1			1		3		4					1		4	5	3	3	3	3	4	3	5	3	3	4	4	3	3	2	3	4	4	3	5	3	3			1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0		1	0	0	0	1	1	0	0	1	0		0	1	3	0	0	1	1	1	1	1	0	0	0	0	0		3	1	2	4	2			2	1	Analýzy rizika, zeštíhlování administrativy
Kovox, spol s r. o.	Otrokovice	1994	2	2	výroba	s.r.o.	2	2	1	1		5	2	1	2	4	3		1	1		3	2		4		1		3		4		2			2		3		5	ISO 9001		2			2		3		3	3		4					2		2	5	5	5	2	3	2	5	2	5	5	5	5	4	5	3	1	5	2	5	5	2	3	5	solventnost zákazníka	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	výkonová spotřeba	1	1	0	0	1	1	0	1	1	0		0	2	3	0	0	0	0	1	0	1	1	0	0	0	0		2	3	3	1	3				2	
La dolce vita - Aida	Brno	1998	2	2	služby	s.r.o.	2	2	1	2		4	2	4	2	4	4	2	3																																							3		5	5	2	4	2	4	5	4	5	5	4	4	4	5	3	3	4	3	4	3	3	4	3			0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	1	0	0		0	1	3	0	0	0	0	1	1	1	0	0	0	0	0		1	1	3	3	1			2	2	
LAC	Rajhrad	1992	2	2	Výroba skla a skleněných výrobků	s.r.o.	2	3	3	1		4	4	2	4	2	4	3	2	3		4		1		2		3	2		3		1			1		2		3			1			1			1			1						1		5	4	3	3	3	2	5	5	4	5	5	5	4	4	5	5	5	5	4	3	4	4	4			1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0		1	1	0	0	1	0	0	0	0	0		0	1	3	0	1	1	1	0	1	1	1	0	0	0	0		2	2	2	5	3			1	2	
LAW CZ	Kroměříž	1998	2	2	Velkooobchod s ostatními meziprodukty, nespecializovaný velkoobchod 	s.r.o.	2	2	3	3		4	4	3	4	2	4	2	2	3		4	3		3		1			2			2			2			2			3				2			2		3				2			1		3	5	3	4	4	3	3	4	5	5	5	5	4	5	3	5	5	1	2	2	2	1	1			0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0		1	1	0	0	1	1	0	1	1	0		0	1	3	0	1	1	0	1	1	1	0	0	0	0	0		4	3	2	4	2			1	1	SNIŽOVÁNÍ NÁKLADŮ
Lázně Luhačovice	Luhačovice	1992	2	2	Léčebné, ubytovací, stravovací služby	a.s.	2	4	4	2		4	5	5	5	5	5	4	5	3		5	3		4	3		5	3		4		2		3		3	3		5		3		4							3		5					1		5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0		2	1	1	0	1	1	1	0	0	0		0	1	2	1	1	1	1	1	1	1	1	0	0	0	1		5	4	4	5	5			1	1	
LESS	Bohdaneč	1992	2	2	lesnictví a zpracování dřeva	a.s. (holding)	2	4	4	2		5	4	4	3	3	5	2	1	2		2	3		5		2		2		4		2			2		2		1	ISO 9001	2		2		2			2			1						2		5	4	4	5	1	2	2	5	5	4	4	4	4	4	4	4	4	4	4	4	5	3	4			0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	Doby obratu zásob, pohledávek a závazků, Tržby/Osobní náklady	2	1	1	0	1	1	1	0	0	0		0	1	3	0	0	0	0	1	1	1	0	0	1	0	0		4	1	1	4	5	5	Zásahy státu ve smyslu způsobu zadávání veřejných zakázek	1	2	
Libor Transport	Znojmo	2006	3	3	Silniční nákladní doprava	s.r.o.	2	2	3	2		3	4	5	5	5	1	4	2	2		5		2		2		5		1			1			1			1				1			1			1			1			1			1		5	5	5	5	3	4	5	5	5	5	5	5	5	4	3	5	4	3	3	3	3	2	2			0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0		3	0	0	0	0	0	0	0	0	0		1	2	2	0	0	0	0	1	0	0	0	0	0	0	0		5	1	1	4	4			2	2	
Linet spol. s r. o.	Želevčice	1990	1	1	33100 Výroba zdravotnických a chirurgických přístrojů a zařízení včetně přístrojů pro ortopedické účely	S.r.o.	1	4	4	1		1	1	5	5	3	5	4	1	3		4	2		3		2		3		5	2		4		2		1	2	3	interní audity, systém nápravy a prevence(capa), vyhodnocování bonusu kvality,	2		2		2		2		4		1		1				1		5	5	5	5	5	5	5	1	1	1	1	5	5	5	4	4	5	5	5	5	5	5	5			1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0		2	1	0	0	1	1	0	0	0	0		0	1	3	1	1	1	1	0	1	1	1	0	0	0	0		1	2	2	4	4			1	2	
LIVEX Zlín	Zlín	2008	3	3	Výroba obuvi	s.r.o.	2	2	1	3		5	5	5	4	5	5	4	4	1		3		1					1		5				1																							1		5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0		2	1	0	0	0	1	0	1	1	0		0	1	2	1	1	0	0	1	1	1	0	0	0	0	0					5	5	5	kurz CZK/EUR	2	2	
Logica Czech Republic s.r.o.	Praha	1995	2	2	dodavky a podpora informacnich systemu	S.r.o.	1	4	4	2		4	4	4	4	4	3	3	3	3		5	3		5		1		3		5	2		4		2		3		4	ISO certifikaty	3		4		2			2			2			1			1		5	5	4	5	4	3	4	5	5	5	5	5	5	5	5	1	3	3	4	4	5	5	5			1	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0		2	0	0	0	1	1	0	0	0	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	0		3	4	5	4	4			1	2	
M Plus elektro	Nedakonice	2009	3	3	Elektroinstalační, instalatérské a ostatní stavebně instalační práce	s.r.o.	2	1	1	2		1	3	4	3	4	5	2	2		1			2			2			2			2			1			2				2			2			2			2			2			3		5	2	3	3	1	1	3	5	5	4	4	3	3	2	2	2	3	2	4	2	4	2	1			0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0		3	0	0	0	1	0	0	0	0	0		0	3	3	0	1	0	0	0	1	1	0	0	0	0	0		1	1	1	5	3			2	2	
MAGNUM Parket	Vyškov	1996	2	2	Výroba stavebně truhlářská a tesařská, Výroba sestavených parketových podlah	a.s.	1	3	4	1		5	4	2	4	4	4	3	2	2		1	2		3		2		2		4		1		2		3	2		2			2		1		4		2			1						3		4	4	3	5	4	2	4	3	4	4	5	5	4	5	4	3	5	4	3	3	4	3	4			0	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0		2	1	0	0	1	1	0	1	1	0		0	1	1	0	1	1	1	0		1	1	0	0	0	0		3	5	3	4	2			1	2	
MAGSY	Zlín	2000	2	2	Výroba a prodej magnetů a magnetických systémů	s.r.o.	2	2	1	1		3	3	1	2	1	2	1	3	3		3	3		2	2		4	2		3		2			2		2		4			2			2			2		3		5					1		5	5	4	4	3	3	4	5	5	4	4	5	5	5	4	4	5	5	4	4	5	5	4			1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0		2	1	0	0	1	1	0	1	0	0		0	1	1	1	1	1	1	0	1	1	1	0	0	0	0		3	2	2	3	1			1	2	
MANAG	Zlín	1993	2	2	stavebnictví	a.s.	2	3	4	2		5	5	3	5	4	4		3	3		4	3		5		2		3		4																											2		5	5	5	5	4	4	3	5	5	5	5	5	5	5	5	4	5		5	4	4	3	4			0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0		2	0	0	0	1	0	0	1	1	0		0	1	3							1	0	0	0	0	1	komplexní informační systém včetně vnitropodnikového účetnictví	1	1	1	5	3				2	
Mands International	Zlín	2000	2	2	Obchod	s.r.o.	2	2	3	3		5	4	2	4	3	5	1	1	3		4	3		4		1		3		5		2		3		2		2			3		4		2			2		3		3					1		5	5	3	3	4	2	2	5	4	5	4	5	5	5	3	4	5	1	4	4	4	3	4			0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0		2	0	0	0	0	0	0	0	0	0		1	1	3	0	0	0	0	1	1	1	1	0	0	0	0		1	2	1	4	3	4	krize	1	1	vyšší tlak na efektivnost všech procesů
MAPLAST CZ, s.r.o.	Bučina	2002	3	2	Lisování plastů 25.2	s.r.o.	2	2	1	1		4	4	4	3	5	4	3	4		1			1			2			1			2			2			1				2			2			2			2						3		5	5	4	4	3	3	4	5	5	5	5	5	4	4	3	3	4	4	4	4	4	3	4			0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0		3	0	0	0	0	0	0	0	0	0		1	2	2	0	0	0	0	1	1	1	0	0	0	0	0		5	2	2	3	3			2	2	
mdexx Magnetronic Devices, s.r.o.	Trutnov	2004	3	2	271100	s.r.o.	1	3	4	1		3	5	4	5	3	4	4	2	3		2	3		4		1		3		5		1		3		4	2		3	FMEA, FPY		1		2		3	2		3	3	1						1		5	5	4	4	3	3	4	5	5	4	5	5	4	5	5	5	3	4	4	3	5	3	4			1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0		2	1	1	0	0	0	1	0	0	0		0	1	3	0	1	1	1	1	1	1	1	0	0	0	0		5	3	2	4	2			1	2	
Media Republic	Praha	2003	3	2	reklamní činnost	s.r.o.	2	1	1	3		5	4	3	3	5	5	4	5	3		4	3		5		2		3		4		2			2			2				2			2			2			2						3		5	5	4	4	3	3	3	5	5	4	4	5	5	4	3	3	4	3	5	4	4	3	3			0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0		1	0	0	0	0	1	0	0	0	0		0	1	2	0	0	0	0	1	0	1	0	0	0	0	0		2	3	3	5	3			2	2	
MEDIN,a.s.	Vlachovická 619, 59231 Nové Město na Moravě	1949	1	1	Zpracovatelský průmysl	a.s.	2	4	4	1		2	5	2	5	3	3	5	1	3		2	2		3	1		5	2		4	1		3		1		3		4		3		3		2			1			1			2			1		3	5	5	4	3	3	5	3	3	4	4	5	5	5	3	3	5	3	3	4	3	4	2	1		1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	PKFN	2	0	1	0	1	0	1	0	0	0		0	1	1	1	1	1	1	1	1	1	1	0	1	0	1		1	2	1	4	4	1		1	1	zahrnuli jsme budoucí riziko očekavané výkonnosti
Meopta - optika	Přerov	1994	2	2	výroba optiky a optoelektroniky	s.r.o.	1	4	4	1		5	5	4	4	5	5	4	5	3		3	2		2		2		3		3		2			2		3		4	ISO 9001:2000	2		3		2			2			2						1		5	5	4	3	4	5	4	4	3	3	3	5	4	4	5	4	4	5	5	3	4	3	4			1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0		2	1	0	0	1	1	0	0	1	0		0	3	3		1	0	0	1	1	0	0	0	1	0	0		5	2	1	4	2			2	2	
Mercedes-Benz Česká Republika	Praha	2002	3	2	obchod	s.r.o.	1	4	4	3		5	5	4	5	3	4	5	5	3		4	3			3			2			3			3			3				3			3			3			3							1		5	5	5	3	3	3	5	5	5	5	5	5	5	5	4	4	5	5	5	4	5	3	3			1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0		2	1	1	1	1	1	0	0	1	0		0	1	1	1	1	1	1	1	1	1	0	1	1	0	0		4	2	4	5	4			2	1	
Mercop, s.r.o.	Praha	1998	2	2	hostinská činnost	s.r.o.	2	1	1	2		2	2	5	1	5	5	1	5	3		4	3		4		2			2			2			2			2				2			2			2			2						1		5	5	4	3	2	2	5	5	5	5	5	5	5	5	3	3	3		4	4	4	4	4			1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0			1	0	0	1	0	0	0	1	0		0	1	3	0	0	0	0	0	0	1	0	0	0	0	0		3	5	5	3	5			2	2	
METAL PROGRES Strakonice, spol. s r.o.	Strakonice	1994	2	2	Slévárenství železných a neželezných kovů, Obrábění	S.r.o.	1	3	4	1		5	5	5	3	4	5	4	1	1	2	2	2		3	1	2	1	2		3		1			1		2		3			1			1			1			1						1		5	4	3	3	3	2	2	3	5	5	5	5	5	4	4	5	4	4	4	4	4	3	3			0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0		1	1	0	0	1	0	0	0	0	0		0	3	3	0	1	1	1	1	1	1	1	0	0	0	0		5	1	1	5	1			1	1	
Metalliset CZ	Kunovice	2000	2	2		s.r.o.	1	2	3	1		5	5	5	5	5	5	5	5	3			3			3			3			3				2							2			2					3							1		5	5	5	5		5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5			1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0		1	1	0	0	1	1	0	0	1	0		0	3	1	1	1	1	1	1	1	1	0	0	0	0	1	Hansa, Novla	5	3	1	1	4			1		
METAS VSETÍN	Vsetín	2004	3	2	výroba strojů a zařízení pro všeobecné účely	s.r.o.	2	1	1	1										1		5	2		4	2		4		1			2			2			2				1			1			2			2						1		5	5	3	4	2	3	3	5	5	5	5	5	5	5	5	3	4	5	3	3	4	3	2			1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0		1	1	0	0	0	1	0	1	1	0		0	3	3	1	1	0	0	1	1	1	0	0	0	0	0		3	3	3	5	4				1	
Metra Šumperk	Šumperk	2004	3	2	výroba měřící a regulační techniky	s.r.o.	2	3	3	1		4	4	5	4	5	4	3	5	2		4	2		4		2			2			2		2		4	2		4			2			2			2			2						1		4	5	4	4	4	4	5	4	5	5	5	5	5	5	4	4	5	4	4	4	4	5				0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0		2	1	0	0	1	1	1	0	1	0		0	1	3	1	1	1	1	1	1	1	1	0	0	0	0		1	3	4	5	4			1	1	
MGM	Holešov	1992	2	2		a.s.		3	2	1		4	3	3	4	2	4	3	2	3		4	3		3	2		3		1			2		3		3						2															2		4	3	3	4	4	3	5	4	4	5	5	4	3	4	3	2	4	3	4	2	3	4	4			0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0		1	1	0	0	1	0	0	1	0	0		0	1	2	0	0	1	0	1	1	1	0	0	0	0	0		3	3	2	4	2			2	1	
Michlovský - stavební, s.r.o.	Zlín	2007	3	3	4222	s.r.o.		3	3	2		4	4	2	3	1	3		1	2		5	2		5		2			1						1							2			2			2			2						3		5	2	3	3		1	3	5	5	5	5	2	3	2	2	3	2	4	4	2	4	2	3			0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0		3	1	0	0	0	0	0	0	1	0		0	1	3	0	0	0	0	1	1	1	0	0	0	0	0		2	1	2	1	4				2	
MITAS a.s	Praha	1933	1	1	výroba-prodej	a.s.	2	4	4	1		5	5	4	3	4	5	3	1	3		4	3		5	3		3	3		5	3		4		2		3		3	ISO, TS,.......	3		4	3		5				3		4					1		5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5		5	5	5	5	5	5			1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	výkon výroby - spotřeba	2	1	0	1	1	1	1	1	1	0		0	1	1	1	1	1	1	1	1	1	1	0	1	1	0		5	3	1	5	3		Vliv počasí	1	2	
MND Servisní	Lužice	1998	2	2	Servis na průzkumné vrty - ropu, plyn	a.s.	2	4	4	2		5	5	5	5	5	4	5	5	3		4		2			2		2		4		2			2		3			ISO, API, HSEQ		2			2			2			2						1		5	3	4	4	5	5	4	4	4	5	5	5	5	5	5	1	1	1	5	4	5	4	5			0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0		2	1	0	0	1	0	0	0	0	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	0			5	4					1	2	
MOBAS Travel	Slušovice	1991	2	2	Cestovní ruch	s.r.o.	1	1	1	2		2	2	3	3	2	4	4	5	3		4		2			2			2			2			2			2				2			2			2			2						3		3	5	2	2	1	1	1	4	4	5	5	5	5	5	3	1	2	1	2	2	4	1	1			1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0		3	1	1	0	0	1	0	0	0	0		0	2	3	0	0	0	0	0	0	1	0	0	0	0	0		3	2	1	1	1	5	měnové kurzy	2	2	
MODIKOV	Hulín	1998	2	2	Výroba obráběcích strojů	s.r.o.	2	2	2	1		5	3	2	3	4	5	3	5	1		3		2			1		2		5		2			2			1				2			2			2			2						1		5	5	3	3	3	5	4	5	5	5	5	5	5	5	4	3	3	5	5	3	4	4	3			1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0		1	1	0	0	0	1	1	0	0	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	0		4	4	5	5	5			2	1	
Moravská vodárenská	Olomouc	1994	2	2		a.s.	1	4	4	2		4	5	3	3	4	4	5	4	3		5	3		5				3		4		1		3		3	3		5	normy		1			1			1		3		4					1		5	5	4	4	4	4	1	5	5	5	5	5	5	5	4	3	3	2	3	3	4	1	1			0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0		2	1	0	0	0	0	0	0	0	0		0	1	1	1	1	1	1	1	1	1	0	0	0	0	0		1	1	1	5	1			2	2	
